Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Wed Jan 30 2013,7:00 pm,Chicago Bulls,104,Milwaukee Bucks,88,Box Score,,
Wed Jan 30 2013,7:00 pm,Los Angeles Clippers,96,Minnesota Timberwolves,90,Box Score,,
Wed Jan 30 2013,7:30 pm,Orlando Magic,97,New York Knicks,113,Box Score,,
Wed Jan 30 2013,7:00 pm,Washington Wizards,84,Philadelphia 76ers,92,Box Score,,
Wed Jan 30 2013,8:30 pm,Los Angeles Lakers,86,Phoenix Suns,92,Box Score,,
Wed Jan 30 2013,7:30 pm,Charlotte Bobcats,78,San Antonio Spurs,102,Box Score,,
Wed Jan 30 2013,7:00 pm,New Orleans Hornets,99,Utah Jazz,104,Box Score,,
Thu Jan 31 2013,7:30 pm,Dallas Mavericks,97,Golden State Warriors,100,Box Score,,
Thu Jan 31 2013,7:00 pm,Memphis Grizzlies,89,Oklahoma City Thunder,106,Box Score,,
Fri Feb 1 2013,7:30 pm,Orlando Magic,84,Boston Celtics,97,Box Score,,
Fri Feb 1 2013,7:30 pm,Chicago Bulls,89,Brooklyn Nets,93,Box Score,,
Fri Feb 1 2013,7:00 pm,New Orleans Hornets,98,Denver Nuggets,113,Box Score,,
Fri Feb 1 2013,7:30 pm,Cleveland Cavaliers,99,Detroit Pistons,117,Box Score,,
Fri Feb 1 2013,7:00 pm,Miami Heat,89,Indiana Pacers,102,Box Score,,
Fri Feb 1 2013,7:00 pm,Washington Wizards,76,Memphis Grizzlies,85,Box Score,,
Fri Feb 1 2013,8:30 pm,Los Angeles Lakers,111,Minnesota Timberwolves,100,Box Score,,
Fri Feb 1 2013,7:30 pm,Milwaukee Bucks,86,New York Knicks,96,Box Score,,
Fri Feb 1 2013,7:30 pm,Sacramento Kings,80,Philadelphia 76ers,89,Box Score,,
Fri Feb 1 2013,7:00 pm,Dallas Mavericks,109,Phoenix Suns,99,Box Score,,
Fri Feb 1 2013,7:00 pm,Los Angeles Clippers,73,Toronto Raptors,98,Box Score,,
Fri Feb 1 2013,7:00 pm,Portland Trail Blazers,77,Utah Jazz,86,Box Score,,
Sat Feb 2 2013,7:00 pm,Chicago Bulls,93,Atlanta Hawks,76,Box Score,,
Sat Feb 2 2013,7:30 pm,Oklahoma City Thunder,110,Cleveland Cavaliers,115,Box Score,,
Sat Feb 2 2013,7:30 pm,Phoenix Suns,93,Golden State Warriors,113,Box Score,,
Sat Feb 2 2013,7:00 pm,Charlotte Bobcats,95,Houston Rockets,109,Box Score,,
Sat Feb 2 2013,7:30 pm,Orlando Magic,98,Milwaukee Bucks,107,Box Score,,
Sat Feb 2 2013,7:00 pm,New Orleans Hornets,86,Minnesota Timberwolves,115,Box Score,,
Sat Feb 2 2013,7:30 pm,Sacramento Kings,81,New York Knicks,120,Box Score,,
Sat Feb 2 2013,7:00 pm,Utah Jazz,99,Portland Trail Blazers,105,Box Score,,
Sat Feb 2 2013,7:30 pm,Washington Wizards,86,San Antonio Spurs,96,Box Score,,
Sun Feb 3 2013,1:00 pm,Los Angeles Clippers,104,Boston Celtics,106,Box Score,,
