,1,2,3,4,5,6,7,8,9
269,7:00p,Denver Nuggets,88,Cleveland Cavaliers,98,Box Score,,"14,642",
270,8:00p,Phoenix Suns,97,Houston Rockets,88,Box Score,,"18,151",
271,8:00p,Detroit Pistons,105,Milwaukee Bucks,98,Box Score,,"12,835",
272,8:00p,Dallas Mavericks,100,New Orleans Pelicans,97,Box Score,,"14,524",
273,10:00p,Oklahoma City Thunder,104,Portland Trail Blazers,111,Box Score,,"18,950",
274,9:00p,Indiana Pacers,95,Utah Jazz,86,Box Score,,"15,519",
275,7:00p,New York Knicks,113,Brooklyn Nets,83,Box Score,,"17,732",
276,9:30p,Miami Heat,87,Chicago Bulls,107,Box Score,,"22,125",
277,8:00p,Los Angeles Clippers,101,Memphis Grizzlies,81,Box Score,,"15,112",
278,7:30p,Cleveland Cavaliers,89,Atlanta Hawks,108,Box Score,,"13,282",
279,7:30p,Denver Nuggets,98,Boston Celtics,106,Box Score,,"17,263",
280,7:00p,Philadelphia 76ers,88,Charlotte Bobcats,105,Box Score,,"14,088",
281,8:00p,Golden State Warriors,83,Houston Rockets,105,Box Score,,"18,145",
282,8:00p,Oklahoma City Thunder,109,New Orleans Pelicans,95,Box Score,,"17,694",
283,7:30p,Orlando Magic,83,New York Knicks,121,Box Score,,"19,812",
284,9:00p,Toronto Raptors,97,Phoenix Suns,106,Box Score,,"12,672",
285,10:00p,Utah Jazz,98,Portland Trail Blazers,130,Box Score,,"19,833",
286,10:00p,Los Angeles Lakers,106,Sacramento Kings,100,Box Score,,"17,317",
287,7:00p,Milwaukee Bucks,109,Washington Wizards,105,Box Score,OT,"18,194",
288,8:00p,Detroit Pistons,92,Chicago Bulls,75,Box Score,,"21,737",
289,7:30p,Los Angeles Clippers,82,Cleveland Cavaliers,88,Box Score,,"16,216",
290,8:00p,Golden State Warriors,108,Memphis Grizzlies,82,Box Score,,"15,088",
291,8:30p,Brooklyn Nets,90,Milwaukee Bucks,82,Box Score,,"14,963",
292,8:00p,Miami Heat,103,Minnesota Timberwolves,82,Box Score,,"19,888",
293,7:00p,Denver Nuggets,103,Philadelphia 76ers,92,Box Score,,"13,113",
294,10:00p,Dallas Mavericks,108,Portland Trail Blazers,106,Box Score,,"20,142",
295,8:30p,Indiana Pacers,111,San Antonio Spurs,100,Box Score,,"18,581",
296,9:00p,Sacramento Kings,112,Utah Jazz,102,Box Score,OT,"16,500",
297,6:00p,Miami Heat,110,Detroit Pistons,95,Box Score,,"18,034",
298,7:00p,Orlando Magic,88,Houston Rockets,98,Box Score,,"16,407",
299,9:30p,Toronto Raptors,106,Los Angeles Lakers,94,Box Score,,"18,997",
300,12:00a,Boston Celtics,114,New York Knicks,73,Box Score,,"19,812",
301,7:00p,Indiana Pacers,94,Oklahoma City Thunder,118,Box Score,,"18,203",
302,7:00p,Golden State Warriors,111,Charlotte Bobcats,115,Box Score,,"13,129",
303,8:00p,Orlando Magic,85,Memphis Grizzlies,94,Box Score,,"13,511",
304,7:00p,Los Angeles Clippers,94,Philadelphia 76ers,83,Box Score,,"12,355",
305,10:00p,Dallas Mavericks,97,Sacramento Kings,112,Box Score,,"15,329",
306,9:00p,Portland Trail Blazers,105,Utah Jazz,94,Box Score,,"17,555",
307,7:00p,Denver Nuggets,75,Washington Wizards,74,Box Score,,"13,293",
308,7:30p,Oklahoma City Thunder,101,Atlanta Hawks,92,Box Score,,"12,503",
309,7:30p,Boston Celtics,96,Brooklyn Nets,104,Box Score,,"15,738",
310,8:00p,Milwaukee Bucks,78,Chicago Bulls,74,Box Score,,"21,303",
311,7:00p,New York Knicks,94,Cleveland Cavaliers,109,Box Score,,"14,580",
312,7:30p,Minnesota Timberwolves,121,Detroit Pistons,94,Box Score,,"11,251",
313,7:00p,Miami Heat,84,Indiana Pacers,90,Box Score,,"18,165",
314,10:30p,Phoenix Suns,114,Los Angeles Lakers,108,Box Score,,"18,997",
315,7:00p,San Antonio Spurs,116,Toronto Raptors,103,Box Score,,"17,702",
316,7:30p,Los Angeles Clippers,96,Boston Celtics,88,Box Score,,"17,587",
317,7:00p,Orlando Magic,92,Charlotte Bobcats,83,Box Score,,"11,377",
318,10:30p,Dallas Mavericks,93,Golden State Warriors,95,Box Score,,"19,596",
319,8:00p,Oklahoma City Thunder,116,Memphis Grizzlies,100,Box Score,,"16,345",
320,8:00p,San Antonio Spurs,109,Milwaukee Bucks,77,Box Score,,"11,087",
321,8:00p,Philadelphia 76ers,99,Minnesota Timberwolves,106,Box Score,,"13,450",
322,8:00p,Detroit Pistons,106,New Orleans Pelicans,111,Box Score,OT,"14,517",
323,8:00p,Chicago Bulls,78,New York Knicks,83,Box Score,,"19,812",
324,10:00p,Utah Jazz,122,Sacramento Kings,101,Box Score,,"15,198",
325,8:00p,Los Angeles Clippers,93,Brooklyn Nets,102,Box Score,,"15,563",
326,10:30p,Houston Rockets,104,Portland Trail Blazers,111,Box Score,,"19,997",
